Time,Well,RFUs,Well_Type,Lysate_Inventory_Record,Energy_Solution,Plate_Reader_Protocol,Plate_Reader,Reaction_Temp_C,Gain,Date,GFP_uM,Calibration_Model
00:20:03,B2,116,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1497068419312385,GFP_uM_Polynomial_Sarah_Oct_22
00:22:03,B2,112,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.145663081899418,GFP_uM_Polynomial_Sarah_Oct_22
00:24:03,B2,101,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.13448427632156232,GFP_uM_Polynomial_Sarah_Oct_22
00:26:03,B2,94,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.12732568207378814,GFP_uM_Polynomial_Sarah_Oct_22
00:28:03,B2,79,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1118678422516738,GFP_uM_Polynomial_Sarah_Oct_22
00:30:03,B2,60,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.09205537493410083,GFP_uM_Polynomial_Sarah_Oct_22
00:32:03,B2,41,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.07198077015653723,GFP_uM_Polynomial_Sarah_Oct_22
00:34:03,B2,47,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.07834858491844018,GFP_uM_Polynomial_Sarah_Oct_22
00:36:03,B2,35,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.06558657367018472,GFP_uM_Polynomial_Sarah_Oct_22
00:38:03,B2,33,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.06344929910420172,GFP_uM_Polynomial_Sarah_Oct_22
00:40:03,B2,43,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.07410630262795515,GFP_uM_Polynomial_Sarah_Oct_22
00:42:03,B2,46,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.07728911129800348,GFP_uM_Polynomial_Sarah_Oct_22
00:44:03,B2,49,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.08046534036540687,GFP_uM_Polynomial_Sarah_Oct_22
00:46:03,B2,56,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.08785100752686001,GFP_uM_Polynomial_Sarah_Oct_22
00:48:03,B2,52,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.0836349993272458,GFP_uM_Polynomial_Sarah_Oct_22
00:50:03,B2,59,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.09100537317547261,GFP_uM_Polynomial_Sarah_Oct_22
00:52:03,B2,51,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.08257917576545601,GFP_uM_Polynomial_Sarah_Oct_22
00:54:03,B2,59,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.09100537317547261,GFP_uM_Polynomial_Sarah_Oct_22
00:56:03,B2,45,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.07622890661060622,GFP_uM_Polynomial_Sarah_Oct_22
00:58:03,B2,56,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.08785100752686001,GFP_uM_Polynomial_Sarah_Oct_22
01:00:03,B2,61,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.0931046505501806,GFP_uM_Polynomial_Sarah_Oct_22
01:02:03,B2,64,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.09624812406056645,GFP_uM_Polynomial_Sarah_Oct_22
01:04:03,B2,70,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10251551271793234,GFP_uM_Polynomial_Sarah_Oct_22
01:06:03,B2,69,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10147275655632117,GFP_uM_Polynomial_Sarah_Oct_22
01:08:03,B2,66,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.09834014880338299,GFP_uM_Polynomial_Sarah_Oct_22
01:10:03,B2,70,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10251551271793234,GFP_uM_Polynomial_Sarah_Oct_22
01:12:03,B2,73,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10563944685907334,GFP_uM_Polynomial_Sarah_Oct_22
01:14:03,B2,77,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10979459204374432,GFP_uM_Polynomial_Sarah_Oct_22
01:16:03,B2,70,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10251551271793234,GFP_uM_Polynomial_Sarah_Oct_22
01:18:03,B2,73,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10563944685907334,GFP_uM_Polynomial_Sarah_Oct_22
01:20:03,B2,75,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10771846118419409,GFP_uM_Polynomial_Sarah_Oct_22
01:22:03,B2,77,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10979459204374432,GFP_uM_Polynomial_Sarah_Oct_22
01:24:03,B2,74,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.10667931463070189,GFP_uM_Polynomial_Sarah_Oct_22
01:26:03,B2,87,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.12013209284617953,GFP_uM_Polynomial_Sarah_Oct_22
01:28:03,B2,86,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1191015734743133,GFP_uM_Polynomial_Sarah_Oct_22
01:30:03,B2,83,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.11600571196846955,GFP_uM_Polynomial_Sarah_Oct_22
01:32:03,B2,90,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.12321935249594522,GFP_uM_Polynomial_Sarah_Oct_22
01:34:03,B2,100,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.13346375797756913,GFP_uM_Polynomial_Sarah_Oct_22
01:36:03,B2,95,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.12835047813073475,GFP_uM_Polynomial_Sarah_Oct_22
01:38:03,B2,101,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.13448427632156232,GFP_uM_Polynomial_Sarah_Oct_22
01:40:03,B2,95,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.12835047813073475,GFP_uM_Polynomial_Sarah_Oct_22
01:42:03,B2,110,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.143636956179233,GFP_uM_Polynomial_Sarah_Oct_22
01:44:03,B2,107,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.14059245255437822,GFP_uM_Polynomial_Sarah_Oct_22
01:46:03,B2,110,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.143636956179233,GFP_uM_Polynomial_Sarah_Oct_22
01:48:03,B2,96,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.12937456035616318,GFP_uM_Polynomial_Sarah_Oct_22
01:50:03,B2,112,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.145663081899418,GFP_uM_Polynomial_Sarah_Oct_22
01:52:03,B2,119,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.15273224305255026,GFP_uM_Polynomial_Sarah_Oct_22
01:54:03,B2,119,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.15273224305255026,GFP_uM_Polynomial_Sarah_Oct_22
01:56:03,B2,113,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.14667508280582625,GFP_uM_Polynomial_Sarah_Oct_22
01:58:03,B2,114,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1476863762121033,GFP_uM_Polynomial_Sarah_Oct_22
02:00:03,B2,124,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1577604751512748,GFP_uM_Polynomial_Sarah_Oct_22
02:02:03,B2,134,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.16776421099541733,GFP_uM_Polynomial_Sarah_Oct_22
02:04:03,B2,126,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.15976684011190656,GFP_uM_Polynomial_Sarah_Oct_22
02:06:03,B2,131,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1647704574384012,GFP_uM_Polynomial_Sarah_Oct_22
02:08:03,B2,128,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.16177039336268692,GFP_uM_Polynomial_Sarah_Oct_22
02:10:03,B2,136,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.16975654554628983,GFP_uM_Polynomial_Sarah_Oct_22
02:12:03,B2,137,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.17075166353081575,GFP_uM_Polynomial_Sarah_Oct_22
02:14:03,B2,134,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.16776421099541733,GFP_uM_Polynomial_Sarah_Oct_22
02:16:03,B2,144,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1776979354882521,GFP_uM_Polynomial_Sarah_Oct_22
02:18:03,B2,147,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18066445320828384,GFP_uM_Polynomial_Sarah_Oct_22
02:20:03,B2,146,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.17967630997810957,GFP_uM_Polynomial_Sarah_Oct_22
02:22:03,B2,153,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18657871854262084,GFP_uM_Polynomial_Sarah_Oct_22
02:24:03,B2,148,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18165190089761338,GFP_uM_Polynomial_Sarah_Oct_22
02:26:03,B2,148,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18165190089761338,GFP_uM_Polynomial_Sarah_Oct_22
02:28:03,B2,156,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18952648515108708,GFP_uM_Polynomial_Sarah_Oct_22
02:30:03,B2,155,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18854458912574118,GFP_uM_Polynomial_Sarah_Oct_22
02:32:03,B2,156,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.18952648515108708,GFP_uM_Polynomial_Sarah_Oct_22
02:34:03,B2,167,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.20028172205353084,GFP_uM_Polynomial_Sarah_Oct_22
02:36:03,B2,164,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.19735675739488331,GFP_uM_Polynomial_Sarah_Oct_22
02:38:03,B2,164,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.19735675739488331,GFP_uM_Polynomial_Sarah_Oct_22
02:40:03,B2,178,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.21095364973357117,GFP_uM_Polynomial_Sarah_Oct_22
02:42:03,B2,174,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.20708255829612232,GFP_uM_Polynomial_Sarah_Oct_22
02:44:03,B2,176,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.20901947469540033,GFP_uM_Polynomial_Sarah_Oct_22
02:46:03,B2,172,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.20514289772178743,GFP_uM_Polynomial_Sarah_Oct_22
02:48:03,B2,180,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.21288508622458466,GFP_uM_Polynomial_Sarah_Oct_22
02:50:03,B2,179,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2119197101216007,GFP_uM_Polynomial_Sarah_Oct_22
02:52:03,B2,178,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.21095364973357117,GFP_uM_Polynomial_Sarah_Oct_22
02:54:03,B2,174,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.20708255829612232,GFP_uM_Polynomial_Sarah_Oct_22
02:56:03,B2,192,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2244163532615479,GFP_uM_Polynomial_Sarah_Oct_22
02:58:03,B2,179,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2119197101216007,GFP_uM_Polynomial_Sarah_Oct_22
03:00:03,B2,189,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2215427363621011,GFP_uM_Polynomial_Sarah_Oct_22
03:02:03,B2,184,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2167397548209386,GFP_uM_Polynomial_Sarah_Oct_22
03:04:03,B2,185,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.21770171477485026,GFP_uM_Polynomial_Sarah_Oct_22
03:06:03,B2,197,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.22919212520299734,GFP_uM_Polynomial_Sarah_Oct_22
03:08:03,B2,191,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2234591611431012,GFP_uM_Polynomial_Sarah_Oct_22
03:10:03,B2,188,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.22058350299606028,GFP_uM_Polynomial_Sarah_Oct_22
03:12:03,B2,200,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.23204945011001357,GFP_uM_Polynomial_Sarah_Oct_22
03:14:03,B2,206,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.23774583316358466,GFP_uM_Polynomial_Sarah_Oct_22
03:16:03,B2,208,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.23963922545912084,GFP_uM_Polynomial_Sarah_Oct_22
03:18:03,B2,199,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2310976858417606,GFP_uM_Polynomial_Sarah_Oct_22
03:20:03,B2,208,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.23963922545912084,GFP_uM_Polynomial_Sarah_Oct_22
03:22:03,B2,203,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.23490068293118252,GFP_uM_Polynomial_Sarah_Oct_22
03:24:03,B2,202,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2339509483029808,GFP_uM_Polynomial_Sarah_Oct_22
03:26:03,B2,209,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2405849103043005,GFP_uM_Polynomial_Sarah_Oct_22
03:28:03,B2,213,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.24436091587511652,GFP_uM_Polynomial_Sarah_Oct_22
03:30:03,B2,217,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.248126164233787,GFP_uM_Polynomial_Sarah_Oct_22
03:32:03,B2,204,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.23584974171618792,GFP_uM_Polynomial_Sarah_Oct_22
03:34:03,B2,222,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2528176316475582,GFP_uM_Polynomial_Sarah_Oct_22
03:36:03,B2,223,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2537539162431407,GFP_uM_Polynomial_Sarah_Oct_22
03:38:03,B2,219,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.25000476149344203,GFP_uM_Polynomial_Sarah_Oct_22
03:40:03,B2,229,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.25935759115290646,GFP_uM_Polynomial_Sarah_Oct_22
03:42:03,B2,222,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2528176316475582,GFP_uM_Polynomial_Sarah_Oct_22
03:44:03,B2,223,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2537539162431407,GFP_uM_Polynomial_Sarah_Oct_22
03:46:03,B2,224,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.25468953203040134,GFP_uM_Polynomial_Sarah_Oct_22
03:48:03,B2,224,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.25468953203040134,GFP_uM_Polynomial_Sarah_Oct_22
03:50:03,B2,230,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26028920147685397,GFP_uM_Polynomial_Sarah_Oct_22
03:52:03,B2,233,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26308003577897626,GFP_uM_Polynomial_Sarah_Oct_22
03:54:03,B2,220,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.25094305462445254,GFP_uM_Polynomial_Sarah_Oct_22
03:56:03,B2,232,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2621504234381451,GFP_uM_Polynomial_Sarah_Oct_22
03:58:03,B2,220,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.25094305462445254,GFP_uM_Polynomial_Sarah_Oct_22
04:00:03,B2,231,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26122014545468564,GFP_uM_Polynomial_Sarah_Oct_22
04:02:03,B2,239,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26864375102641513,GFP_uM_Polynomial_Sarah_Oct_22
04:04:03,B2,238,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26771812515473625,GFP_uM_Polynomial_Sarah_Oct_22
04:06:03,B2,234,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2640089828289227,GFP_uM_Polynomial_Sarah_Oct_22
04:08:03,B2,233,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26308003577897626,GFP_uM_Polynomial_Sarah_Oct_22
04:10:03,B2,244,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2732619397133489,GFP_uM_Polynomial_Sarah_Oct_22
04:12:03,B2,245,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2741835917786496,GFP_uM_Polynomial_Sarah_Oct_22
04:14:03,B2,247,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2760249130511145,GFP_uM_Polynomial_Sarah_Oct_22
04:16:03,B2,246,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2751045827739902,GFP_uM_Polynomial_Sarah_Oct_22
04:18:03,B2,240,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.26956871371767166,GFP_uM_Polynomial_Sarah_Oct_22
04:20:03,B2,246,Experiment,Lysate_009,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.2751045827739902,GFP_uM_Polynomial_Sarah_Oct_22
